_id,simulation,simulationSpeed,elapsedRealTime,elapsedSimulationTime,cause.id,cause.params.inputId,cause.params.droneId,cause.params.detectorId,cause.params.controlModeId,cause.params.selected,cause.params.controlMode.id,cause.params.controlMode.key,cause.params.incidentId,cause.params.incidentType,cause.params.targetPosition,cause.params.type,cause.params.id
ObjectID(545a3690fd19ec4943e34170),ObjectID(545a3669fd19ec4943e33f41),1,35700,35700,0,4,1,,,,,,,,,,
ObjectID(545a3691fd19ec4943e3417e),ObjectID(545a3691fd19ec4943e3417d),1,0,0,,,,,,,,,,,,,
ObjectID(545a3691fd19ec4943e3418c),ObjectID(545a3691fd19ec4943e3417d),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a3691fd19ec4943e3419a),ObjectID(545a3669fd19ec4943e33f41),1,36700,36700,0,4,1,,,,,,,,,,
ObjectID(545a3692fd19ec4943e341a7),ObjectID(545a3676fd19ec4943e33ff7),1,25750,25750,0,0,1,,,,,,,,,,
ObjectID(545a3692fd19ec4943e341b4),ObjectID(545a366afd19ec4943e33f5e),1,37300,37300,0,6,,,,,0,"MONITORING",,,,,
ObjectID(545a3693fd19ec4943e341c2),ObjectID(545a3669fd19ec4943e33f41),1,38300,38300,0,4,1,,,,,,,,,,
ObjectID(545a3695fd19ec4943e341cf),ObjectID(545a3676fd19ec4943e33ff7),1,28200,28200,0,0,1,,,,,,,,,,
ObjectID(545a3697fd19ec4943e341dd),ObjectID(545a3697fd19ec4943e341dc),1,0,0,,,,,,,,,,,,,
ObjectID(545a3697fd19ec4943e341eb),ObjectID(545a3671fd19ec4943e33fb3),1,34650,34650,0,4,1,,,,,,,,,,
ObjectID(545a3697fd19ec4943e341f8),ObjectID(545a3697fd19ec4943e341dc),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a3697fd19ec4943e34206),ObjectID(545a366afd19ec4943e33f5e),1,41400,41400,0,4,1,,,,,,,,,,
ObjectID(545a3697fd19ec4943e34215),ObjectID(545a3697fd19ec4943e34214),1,0,0,,,,,,,,,,,,,
ObjectID(545a3697fd19ec4943e34222),ObjectID(545a3697fd19ec4943e34214),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a3698fd19ec4943e3422f),ObjectID(545a3671fd19ec4943e33fb3),1,35950,35950,0,0,1,,,,,,,,,,
ObjectID(545a3699fd19ec4943e3423c),ObjectID(545a366afd19ec4943e33f5e),1,43650,43650,0,4,1,,,,,,,,,,
ObjectID(545a3699fd19ec4943e3424a),ObjectID(545a3671fd19ec4943e33fb3),1,37050,37050,0,0,1,,,,,,,,,,
ObjectID(545a369bfd19ec4943e34257),ObjectID(545a366bfd19ec4943e33f7b),1,43900,43900,0,0,1,,,,,,,,,,
ObjectID(545a369cfd19ec4943e34263),ObjectID(545a366afd19ec4943e33f5e),1,45900,45900,0,4,1,,,,,,,,,,
ObjectID(545a369efd19ec4943e34272),ObjectID(545a369efd19ec4943e34271),1,0,0,,,,,,,,,,,,,
ObjectID(545a369efd19ec4943e3427f),ObjectID(545a369efd19ec4943e34271),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a369efd19ec4943e3428c),ObjectID(545a3671fd19ec4943e33fb3),1,41600,41600,0,4,1,,,,,,,,,,
ObjectID(545a369ffd19ec4943e3429a),ObjectID(545a369ffd19ec4943e34299),1,0,0,,,,,,,,,,,,,
ObjectID(545a369ffd19ec4943e342a8),ObjectID(545a369ffd19ec4943e34299),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a36a0fd19ec4943e342b6),ObjectID(545a366bfd19ec4943e33f7b),1,48400,48400,0,0,1,,,,,,,,,,
ObjectID(545a36a1fd19ec4943e342c2),ObjectID(545a366bfd19ec4943e33f7b),1,49350,49350,0,0,1,,,,,,,,,,
